topology,seed,run_id,run_name,run_state,run_url,evaluation_step,distance_m,selection_mean_distance_m
henneberg_n5_1tube_1,1,f1e7bvsq,paper-v3-henneberg_n5_1tube_1-1-job_0000_a521a92179e7,finished,https://wandb.ai/i-suds/paper_results/runs/f1e7bvsq,7841280,37.51744690104758,49.32200752458065
henneberg_n5_1tube_1,2,3dueqci4,paper-v3-henneberg_n5_1tube_1-2-job_0001_f6cb1a4d2f56,finished,https://wandb.ai/i-suds/paper_results/runs/3dueqci4,7841280,57.6445040136655,49.32200752458065
henneberg_n5_1tube_1,3,fpy6nctq,paper-v3-henneberg_n5_1tube_1-3-job_0002_2e8fdaf4880d,finished,https://wandb.ai/i-suds/paper_results/runs/fpy6nctq,7841280,52.804071659028864,49.32200752458065
henneberg_n6_1tube_2,1,okhxpom2,paper-v3-henneberg_n6_1tube_2-1-job_0003_2d747775c027,finished,https://wandb.ai/i-suds/paper_results/runs/okhxpom2,4320768,30.875450212370247,29.89506303483508
henneberg_n6_1tube_2,2,yq24of92,paper-v3-henneberg_n6_1tube_2-2-job_0004_77d785a7b03b,finished,https://wandb.ai/i-suds/paper_results/runs/yq24of92,4320768,22.118897030694566,29.89506303483508
henneberg_n6_1tube_2,3,zfplltu8,paper-v3-henneberg_n6_1tube_2-3-job_0005_dde6ecf2474a,finished,https://wandb.ai/i-suds/paper_results/runs/zfplltu8,4320768,36.690841861440425,29.89506303483508
henneberg_n6_2tube_1,1,vjwagb8f,paper-v3-henneberg_n6_2tube_1-1-job_0012_cc5ee33ee09a,finished,https://wandb.ai/i-suds/paper_results/runs/vjwagb8f,9280512,5.968664955667548,44.33032250128782
henneberg_n6_2tube_1,2,5ah18acj,paper-v3-henneberg_n6_2tube_1-2-job_0013_bac8c12821a6,finished,https://wandb.ai/i-suds/paper_results/runs/5ah18acj,9280512,63.85219953471684,44.33032250128782
henneberg_n6_2tube_1,3,beo0fpdw,paper-v3-henneberg_n6_2tube_1-3-job_0014_8ebe56f88884,finished,https://wandb.ai/i-suds/paper_results/runs/beo0fpdw,9280512,63.17010301347907,44.33032250128782
henneberg_n7_1tube_3,1,1anyry6z,paper-v3-henneberg_n7_1tube_3-1-job_0006_f929e81285da,finished,https://wandb.ai/i-suds/paper_results/runs/1anyry6z,8060928,22.81925436280379,43.56052071803908
henneberg_n7_1tube_3,2,lx5ztth2,paper-v3-henneberg_n7_1tube_3-2-job_0007_252aacc54d6e,finished,https://wandb.ai/i-suds/paper_results/runs/lx5ztth2,8060928,49.87131771876043,43.56052071803908
henneberg_n7_1tube_3,3,pk7l5j0x,paper-v3-henneberg_n7_1tube_3-3-job_0008_bd31072a3310,finished,https://wandb.ai/i-suds/paper_results/runs/pk7l5j0x,8060928,57.99099007255302,43.56052071803908
