topology,distance_m,distance_std_m,n_seeds,selected_step
henneberg_n5_1tube_1,49.32200752458065,10.505626348816802,3,7841280
henneberg_n6_1tube_2,29.89506303483508,7.335275270975301,3,4320768
henneberg_n7_1tube_3,43.56052071803908,18.415546891074058,3,8060928
henneberg_n8_1tube_57,55.467130448824854,12.525992754357459,3,9681408
henneberg_n6_2tube_1,44.33032250128782,33.22392046630944,3,9280512
henneberg_n8_2tube_187,60.912704758498364,36.84030625426018,3,5620224
tetrahedron,18.018882834415113,8.595180519769233,3,6761472
henneberg_n7_3tube_1,35.44636543639135,22.952609579619697,3,7120896
henneberg_n8_3tube_64,31.34175486072401,30.76498027664024,3,9641472
usevitch_60243677150_p1,45.47937063513268,17.82725784383483,3,9641472
usevitch_210272254_p1,26.581863284224493,12.353387792207922,3,8001024
usevitch_1514879,40.39204110734047,20.473131221234095,3,8902656
octahedron,71.22715015349847,15.933418168880827,3,9220608
