topology,held_out,average_duration_s,distance_m,distance_std_m,avg_velocity_m_s,velocity_std_m_s,fail_percent
henneberg_n5_1tube_1,No,200,7.4338,0.02629196215618,0.0371691904378442,0.000131459810780707,0
henneberg_n6_1tube_2,No,200,8.9203701060069,0.139382309047383,0.044601850529984,0.000696911545236098,0
henneberg_n7_1tube_3,Yes,200,10.6225031425084,0.497611325728749,0.0531125157124812,0.00248805662864089,0
henneberg_n8_1tube_57,No,200,10.965334347567,0.124121153050418,0.0548266717377717,0.000620605765251274,0
henneberg_n6_2tube_1,No,200,8.2927142067786,0.360446016445557,0.0414635710338457,0.00180223008222573,0
henneberg_n8_2tube_187,No,200,10.9665912520958,0.695345426831389,0.0548329562604155,0.00347672713415283,0
tetrahedron,No,200,3.80603709833024,0.00347190351295903,0.0190301854916295,0.000017359517564775,0
henneberg_n7_3tube_1,Yes,200,7.85576922217217,0.608179207328586,0.039278846110816,0.00304089603663951,0
henneberg_n8_3tube_64,No,192.640133333544,5.56675372704612,4.15201451993521,0.02947966326184,0.0210533479008245,6.66666666666667
usevitch_60243677150_p1,No,178.200133333492,9.09177034678779,3.22191141686803,0.0504549762444195,0.0129932243182365,40
usevitch_210272254_p1,No,197.973333333553,11.5463829556959,0.637311643162187,0.0583312672173936,0.00247030291524814,6.66666666666667
usevitch_1514879,Yes,28.3872000000307,0.141523733663786,0.189574709008075,0.0632787756374512,0.060320462210687,86.6666666666667
octahedron,No,198.093333333552,8.50808597868836,0.552919913738308,0.0429909146251948,0.00293981090186455,6.66666666666667
