topology,role,fold,distance_m,family,hand_pca_x,hand_pca_y,gnn_pca_x,gnn_pca_y
henneberg_n5_1tube_1,heldout,node_5,0.23727493541499367,henneberg,-3.370616607087485,1.0995815970699285,-5.9883027,2.719968
tetrahedron,train,node_5,1.2601389069966913,tetrahedron,-7.650679993448796,2.2212436148342465,-13.936345,-2.6378484
henneberg_n6_1tube_2,train,node_5,1.9780692650504108,henneberg,-2.567921351349721,-5.128906802697615,-3.0981889,6.560351
henneberg_n6_2tube_1,train,node_5,1.696383656461337,henneberg,-0.16819545830477056,0.9849352937701771,-3.0763195,-6.1586423
octahedron,train,node_5,9.353897281446965,octahedron,-3.5557084062159356,-0.5138643273632423,-2.5650516,4.257489
henneberg_n8_1tube_57,train,node_5,1.9964547172001834,henneberg,3.001133102251357,-2.4797650614975253,2.2320707,-5.9210057
henneberg_n8_2tube_187,train,node_5,2.0457060202686317,henneberg,2.168659142386819,-0.19989448520027445,5.203934,4.1766057
henneberg_n8_3tube_64,train,node_5,1.8332297066133785,henneberg,3.2849969539142485,1.8502544535734964,2.771726,-1.1378984
usevitch_210272254_p1,train,node_5,2.471491380862159,usevitch,2.0338562620430976,0.1874588816992684,4.867724,-3.2512531
usevitch_60243677150_p1,train,node_5,1.694265299180877,usevitch,4.034112418538724,0.6375510351525514,5.7988234,-4.131991
