fold,topology,role,distance_m,distance_std_m,n_seeds,hand_feature_knn_distance,gnn_embedding_knn_distance,family,n_nodes,n_edges,redundancy,algebraic_connectivity,diameter,n_articulation_points,n_bridges,spectral_radius,static_rigidity,degree_mean,degree_max,degree_min,degree_std,n_tubes,n_connectors,tube_fraction,n_active_nodes,n_passive_nodes,active_node_fraction,active_centroid_offset,active_dispersion,passive_dispersion,active_passive_separation
node_4,henneberg_n5_1tube_1,train,6.668851278935244,4.136080609037148,3,5.566521332521686,16.06325340270996,henneberg,5,9,0,2.999999999999999,2.0,0,0,3.6457513110645903,0.6086697090894637,3.6,4.0,3.0,0.4898979485566356,9,5,0.6428571428571429,8,2,0.8,1.740595377349885e-12,0.321583678908928,0.4058802823673262,8.703140004180084e-12
node_4,henneberg_n6_1tube_2,train,1.9535435120503362,0.11401872913573646,3,6.65818222692977,14.584884643554688,henneberg,6,12,0,3.9999999999999982,2.0,0,0,4.0,0.9999999995696868,4.0,4.0,4.0,0.0,12,8,0.6,11,2,0.8461538461538461,0.0685171955835478,0.4065578140234969,0.0,0.445361771293061
node_4,henneberg_n6_2tube_1,train,4.384397549329486,3.4900554702888766,3,4.945725022938589,14.564254760742188,henneberg,6,12,0,2.5857864376269037,2.0,0,0,4.119026675525918,0.3249056926347491,4.0,5.0,3.0,0.816496580927726,12,10,0.5454545454545454,10,4,0.7142857142857143,0.0401705908574453,0.3067113922060481,0.3253930545013146,0.1405970680010586
node_4,henneberg_n8_1tube_57,train,2.524570698260195,0.3539431935856413,3,4.450342099115919,13.139538764953613,henneberg,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.356550219838531,4.5,6.0,4.0,0.8660254037844386,18,15,0.5454545454545454,17,2,0.8947368421052632,0.0212309533690332,0.3304981299362936,0.0,0.2016940570058166
node_4,henneberg_n8_2tube_187,train,2.1297420243841167,0.720458358317311,3,3.577496805114331,13.105022430419922,henneberg,8,18,0,2.7639320225002093,2.0,0,0,4.5413812651491074,0.5244914870885051,4.5,5.0,4.0,0.5,18,16,0.5294117647058824,16,4,0.8,2.811553521631756e-10,0.3519576169689171,0.3028421371635365,1.4057768315564086e-09
node_4,henneberg_n8_3tube_64,train,2.359146759081008,0.5294030855678586,3,3.6949715826876264,13.836407661437988,henneberg,8,18,0,2.267949192431125,2.0,0,0,4.67282370100095,0.4914409060128525,4.5,6.0,3.0,1.0,18,18,0.5,15,6,0.7142857142857143,0.0111948276606879,0.3251376778087803,0.3621419468461989,0.039181896812408
node_4,octahedron,train,17.368792360967486,14.64606572227904,3,5.854615031508274,19.24212074279785,octahedron,6,12,0,3.999999999999998,2.0,0,0,3.9999999999999982,0.999940558664586,4.0,4.0,4.0,0.0,12,6,0.6666666666666666,8,4,0.6666666666666666,4.811248763111005e-06,0.4082514323430815,0.4082544260404797,1.4433746289333014e-05
node_4,tetrahedron,heldout,0.3672243590834543,0.21174421951962047,3,6.928669437094982,20.431978225708008,tetrahedron,4,6,0,3.999999999999997,1.0,0,0,3.0,0.9999926663977688,3.0,3.0,3.0,0.0,6,4,0.6,4,4,0.5,0.0,0.3939190329498989,0.3939190329498989,3.570884571009438e-17
node_4,usevitch_210272254_p1,train,3.4423682098528325,0.07575551899118703,3,3.621412687249171,15.68127155303955,usevitch,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.2893082357127181,4.5,6.0,4.0,0.8660254037844386,18,12,0.6,12,6,0.6666666666666666,0.0035277351122862,0.3682349411858803,0.1630361846393583,0.0105832053368587
node_4,usevitch_60243677150_p1,train,1.8970233302833266,0.21306854082081353,3,3.585022417241951,15.654923439025879,usevitch,9,21,0,1.999999999999999,2.0,0,0,4.8284271247461925,0.3911519453905961,4.666666666666667,6.0,4.0,0.9428090415820634,21,15,0.5833333333333334,14,7,0.6666666666666666,0.0270834247231329,0.3186688147790406,0.2789770013184567,0.0812502741693988
