topology,family,n_nodes,n_edges,redundancy,algebraic_connectivity,diameter,n_articulation_points,n_bridges,spectral_radius,static_rigidity,degree_mean,degree_max,degree_min,degree_std,n_tubes,n_connectors,tube_fraction,n_active_nodes,n_passive_nodes,active_node_fraction,active_centroid_offset,active_dispersion,passive_dispersion,active_passive_separation
tetrahedron,tetrahedron,4,6,0,3.9999999999999964,1.0,0,0,3.0,0.9999926663977687,3.0,3.0,3.0,0.0,6,4,0.6,4,4,0.5,0.0,0.39391903294989894,0.39391903294989894,3.5708845710094374e-17
henneberg_n5_1tube_1,henneberg,5,9,0,2.999999999999999,2.0,0,0,3.6457513110645907,0.6086697090894637,3.6,4.0,3.0,0.4898979485566356,9,5,0.6428571428571429,8,2,0.8,1.740595377349885e-12,0.321583678908928,0.40588028236732626,8.703140004180084e-12
henneberg_n6_1tube_2,henneberg,6,12,0,3.9999999999999987,2.0,0,0,4.0,0.9999999995696869,4.0,4.0,4.0,0.0,12,8,0.6,11,2,0.8461538461538461,0.06851719558354784,0.4065578140234969,0.0,0.44536177129306104
henneberg_n6_2tube_1,henneberg,6,12,0,2.5857864376269037,2.0,0,0,4.119026675525918,0.3249056926347491,4.0,5.0,3.0,0.816496580927726,12,10,0.5454545454545454,10,4,0.7142857142857143,0.04017059085744536,0.3067113922060481,0.32539305450131467,0.14059706800105867
octahedron,octahedron,6,12,0,3.999999999999998,2.0,0,0,3.9999999999999982,0.9999405586645859,4.0,4.0,4.0,0.0,12,6,0.6666666666666666,8,4,0.6666666666666666,4.811248763111005e-06,0.40825143234308153,0.4082544260404797,1.4433746289333014e-05
henneberg_n8_1tube_57,henneberg,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.356550219838531,4.5,6.0,4.0,0.8660254037844386,18,15,0.5454545454545454,17,2,0.8947368421052632,0.02123095336903328,0.3304981299362936,0.0,0.2016940570058166
henneberg_n8_2tube_187,henneberg,8,18,0,2.7639320225002093,2.0,0,0,4.5413812651491074,0.5244914870885051,4.5,5.0,4.0,0.5,18,16,0.5294117647058824,16,4,0.8,2.811553521631756e-10,0.35195761696891714,0.30284213716353653,1.4057768315564088e-09
henneberg_n8_3tube_64,henneberg,8,18,0,2.267949192431125,2.0,0,0,4.67282370100095,0.4914409060128525,4.5,6.0,3.0,1.0,18,18,0.5,15,6,0.7142857142857143,0.011194827660687981,0.32513767780878033,0.36214194684619894,0.039181896812408086
usevitch_210272254_p1,usevitch,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.28930823571271813,4.5,6.0,4.0,0.8660254037844386,18,12,0.6,12,6,0.6666666666666666,0.003527735112286244,0.3682349411858803,0.16303618463935834,0.010583205336858713
usevitch_60243677150_p1,usevitch,9,21,0,1.9999999999999987,2.0,0,0,4.8284271247461925,0.39115194539059617,4.666666666666667,6.0,4.0,0.9428090415820634,21,15,0.5833333333333334,14,7,0.6666666666666666,0.027083424723132948,0.3186688147790406,0.27897700131845676,0.08125027416939885
henneberg_n7_1tube_3,henneberg,7,15,0,3.3819660112500993,2.0,0,0,4.316624790355401,0.6098076440036274,4.285714285714286,5.0,4.0,0.4517539514526256,15,11,0.5769230769230769,14,2,0.875,4.079884439693187e-12,0.3582315960220871,0.2733023808687261,3.2638953624470155e-11
henneberg_n7_3tube_1,henneberg,7,15,0,2.6972243622680043,2.0,0,0,4.51140466422676,0.25928583280772577,4.285714285714286,6.0,3.0,1.1605769149479943,15,15,0.5,12,6,0.6666666666666666,0.010261884323376038,0.3274659014795979,0.3788358755914667,0.030785652970127895
usevitch_1514879,usevitch,7,15,0,2.9999999999999996,2.0,0,0,4.372281323269015,0.02708445805053116,4.285714285714286,6.0,4.0,0.6998542122237653,15,9,0.625,10,5,0.6666666666666666,0.02847016313110373,0.3628047267767789,0.2871395689980672,0.08541048939331118
