topology,role,fold,distance_m,family,hand_pca_x,hand_pca_y,gnn_pca_x,gnn_pca_y
henneberg_n8_1tube_57,heldout,node_8,0.34668014064002417,henneberg,3.001133102251357,-2.4797650614975253,5.8132386,2.4133754
henneberg_n8_2tube_187,heldout,node_8,0.13796641242798524,henneberg,2.168659142386819,-0.19989448520027445,5.4900494,-0.22230904
henneberg_n8_3tube_64,heldout,node_8,0.19036215783464094,henneberg,3.2849969539142485,1.8502544535734964,2.672926,-2.2102976
usevitch_210272254_p1,heldout,node_8,0.2466999077819132,usevitch,2.0338562620430976,0.1874588816992684,-2.6124206,6.0750165
tetrahedron,train,node_8,0.7952346243854186,tetrahedron,-7.650679993448796,2.2212436148342465,-9.307002,-7.806335
henneberg_n5_1tube_1,train,node_8,1.3277590776556758,henneberg,-3.370616607087485,1.0995815970699285,0.9565449,-0.2646681
henneberg_n6_1tube_2,train,node_8,1.0701478312243122,henneberg,-2.567921351349721,-5.128906802697615,0.8404099,0.7037772
henneberg_n6_2tube_1,train,node_8,1.0400379869676384,henneberg,-0.16819545830477056,0.9849352937701771,5.518258,-1.5465677
octahedron,train,node_8,2.0406783845239995,octahedron,-3.5557084062159356,-0.5138643273632423,-7.9398723,-7.422657
usevitch_60243677150_p1,train,node_8,0.9488410326872055,usevitch,4.034112418538724,0.6375510351525514,-3.6435006,6.7939234
