fold,seed,run_id,run_name,run_state,topology,role,evaluation_step,distance_m,selection_mean_distance_m
node_4,1,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,finished,henneberg_n5_1tube_1,train,5080239,6.4705282144340455,6.668851278935244
node_4,2,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,finished,henneberg_n5_1tube_1,train,5080239,10.900525820967935,6.668851278935244
node_4,3,CV-BASE-node_4_seed_3_job_0002_ac9787478933,CV-BASE-node_4_seed_3_job_0002_ac9787478933,finished,henneberg_n5_1tube_1,train,5080239,2.635499801403751,6.668851278935244
node_4,1,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,finished,henneberg_n6_1tube_2,train,2140749,2.0067752292679266,1.9535435120503362
node_4,2,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,finished,henneberg_n6_1tube_2,train,2140749,2.03121120346396,1.9535435120503362
node_4,3,CV-BASE-node_4_seed_3_job_0002_ac9787478933,CV-BASE-node_4_seed_3_job_0002_ac9787478933,finished,henneberg_n6_1tube_2,train,2140749,1.822644103419122,1.9535435120503362
node_4,1,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,finished,henneberg_n6_2tube_1,train,4640085,8.37941844859354,4.384397549329486
node_4,2,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,finished,henneberg_n6_2tube_1,train,4640085,1.928255224959253,4.384397549329486
node_4,3,CV-BASE-node_4_seed_3_job_0002_ac9787478933,CV-BASE-node_4_seed_3_job_0002_ac9787478933,finished,henneberg_n6_2tube_1,train,4640085,2.845518974435664,4.384397549329486
node_4,1,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,finished,henneberg_n8_1tube_57,train,4281498,2.9263892940738216,2.524570698260195
node_4,2,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,finished,henneberg_n8_1tube_57,train,4281498,2.3883309165830324,2.524570698260195
